"fecha","total","agro","combustibles","manufacturas","otros","share_total","share_nocom","share_totalindex","share_nocomindex","t","share_totalfitted","share_nocomfitted"
"6-2011",4708737.0667,651196.40261,3083942.09892,767855.459780002,205743.10539,13.8295341911366,40.0786816505067,71.0948550864937,112.439863006442,66,86.2662842082731,102.871215526852
"7-2011",4866229.04526,477354.4424,3393823.43585,766948.055060002,228103.11195,9.80953502106466,32.4200369347464,50.4288475048889,90.9537031031703,67,86.2580290266561,103.09300102738
"8-2011",4941644.70571,527888.46276,3300201.25168,843164.624720003,270390.36655,10.6824446959943,32.1600151052387,54.916300660216,90.2242175591226,68,86.2497738450391,103.314786527908
"9-2011",4582400.64543,486297.58677,3027039.54433,823887.095859994,245176.41847,10.6122887193415,31.2658961591669,54.5556428878973,87.7157864514215,69,86.2415186634221,103.536572028437
"10-2011",4772995.68656001,506962.286310001,3203887.08885,795453.804210001,266692.50719,10.621469609485,32.3089355988408,54.6028399984649,90.642010740183,70,86.233263481805,103.758357528965
"11-2011",5147329.94046997,607460.492549999,3450435.52139,796212.858820003,293221.06771,11.8014679372688,35.7983670474534,60.6689741832199,100.431534194915,71,86.225008300188,103.980143029493
"12-2011",5306737.95146998,631142.05356,3561500.40385,808097.291809999,305998.20225,11.8932206438641,36.1636760806976,61.1406564025221,101.456400681572,72,86.216753118571,104.201928530021
"1-2012",4785773.05955,558473.10694,3359880.3588,665606.992029998,201812.60178,11.6694439955854,39.1665590718187,59.9902656401697,109.880923102003,73,86.208497936954,104.42371403055
"2-2012",4999318.20716999,515238.155089999,3376270.39583,807590.118259998,300219.53799,10.3061684361489,31.7451002669242,52.9819400522254,89.0601830735015,74,86.200242755337,104.645499531078
"3-2012",5712354.79874,637819.09747,3919587.87685,877169.827069996,277777.99735,11.1656071785087,35.5773575294209,57.4001418513105,99.8114968357176,75,86.19198757372,104.867285031606
"4-2012",5010929.4782,452088.399619999,3572968.7858,726256.42641,259615.86637,9.02204673976765,31.4395519995369,46.3805285617242,88.2029741057397,76,86.183732392103,105.089070532135
"5-2012",5403375.26792,637247.21845,3574152.33687,921910.109049999,270065.60355,11.7935028913012,34.8370451536058,60.6280274831363,97.7345666900482,77,86.175477210486,105.310856032663
"6-2012",4563431.07055,532865.2404,2937966.41694,800041.149959997,292558.26325,11.676855246896,32.7823332987622,60.028365393253,91.9701176123323,78,86.167222028869,105.532641533191
"7-2012",4976904.73250001,595613.42345,3248531.05687,843533.621720005,289226.63046,11.9675472098259,34.4609173263931,61.5227543360532,96.6793483140174,79,86.1589668472519,105.754427033719
"8-2012",4570779.77581,583745.292129999,2788859.3519,895737.13395,302437.99783,12.7712408114555,32.7593356188774,65.6543815732463,91.9055981254325,80,86.1507116656349,105.976212534248
"9-2012",4910403.15678,506441.39866,3255272.78291,831409.240840003,317279.73437,10.3136419249148,30.5982783383914,53.0203597555542,85.8427992867424,81,86.1424564840179,106.197998034776
"10-2012",5432930.46991,576573.35368,3643932.21572,874052.847840003,338372.05267,10.612566401748,32.2288382523354,54.557070397326,90.417299389975,82,86.1342013024009,106.419783535304
"11-2012",4807338.33176,551989.74895,3062841.83945,908122.798970001,284383.94439,11.4822321803989,31.6417803866762,59.0278473340138,88.7703214138233,83,86.1259461207839,106.641569035832
"12-2012",4951627.56904001,480716.93886,3376174.11002,802495.269460001,292241.2507,9.70826121628526,30.5129254125364,49.9082192338758,85.6033435238503,84,86.1176909391669,106.863354536361
"1-2013",4849196.48486,505893.75889,3290902.35697,749621.109369999,302779.25963,10.4325275428514,32.4645873866574,53.6315268174563,91.0786884196392,85,86.1094357575499,107.085140036889
"2-2013",4667767.44035,520741.732199999,3070433.76008,831032.613380004,245559.33469,11.1561198978875,32.6006856696327,57.3513696488914,91.4605091697977,86,86.1011805759329,107.306925537417
"3-2013",4617842.49680002,526412.53693,3069346.56249,767030.874749995,255052.52263,11.3995342477528,33.9950867978584,58.6027138872778,95.3724709753512,87,86.0929253943159,107.528711037945
"4-2013",4949486.63116999,661266.383720001,3157208.94516,889825.728909996,241185.57338,13.3603024514825,36.8953086277678,68.6826290439075,103.508979757924,88,86.0846702126988,107.750496538474
"5-2013",5332469.70578005,610392.849309999,3545217.54038,985415.581339998,191443.73475,11.446719493753,34.1525869223592,58.8452837511824,95.8143341228668,89,86.0764150310818,107.972282039002
"6-2013",4870838.95240999,544562.95428,3325816.54224,822531.460580001,177927.99531,11.1800648635809,35.2462819112174,57.4744659037974,98.882671444698,90,86.0681598494648,108.19406753953
"7-2013",4652296.85025998,529142.921290001,3142914.03532,825659.80903,154580.08462,11.373799615999,35.0569064423224,58.4704173189368,98.3513827170644,91,86.0599046678478,108.415853040058
"8-2013",4977705.80893997,556947.44691,3568929.24371,740143.40726,111685.71106,11.1888381573238,39.5341220642099,57.51956764321,110.912113021649,92,86.0516494862308,108.637638540587
"9-2013",4849995.80630997,515083.69055,3356513.86417,820769.027729998,157629.22386,10.6202914625176,34.4887792758947,54.5967833817518,96.7575144027218,93,86.0433943046138,108.859424041115
"10-2013",4837983.29167001,550394.81086,3262433.76551,889041.386020002,136113.32928,11.3765339332127,34.9335137817878,58.4844738940452,98.0052073122072,94,86.0351391229968,109.081209541643
"11-2013",4948665.10412998,572076.51543,3429825.38258,805903.53286,140859.67326,11.560218834622,37.6653643773679,59.4287610454982,105.669354286892,95,86.0268839413798,109.302995042172
"12-2013",5272122.43589998,587418.23613,3705943.08685,818472.66026,160288.45266,11.1419687852853,37.5064475525309,57.2786216238417,105.223516617632,96,86.0186287597627,109.5247805427
"1-2014",4808831.85363997,496110.66495,3554978.82316,636234.476430001,121507.8891,10.3166565197009,39.5668912456264,53.0358571813171,111.004046241944,97,86.0103735781457,109.746566043228
"2-2014",4271442.15057002,595890.81658,2812865.01172,736736.301010001,125950.02126,13.950576774181,40.8542545133962,71.7171106723942,114.61571567583,98,86.0021183965287,109.968351543756
"3-2014",4408181.03389997,557086.991669999,2939245.21627,746075.897290003,165772.92867,12.6375706302864,37.9245291035807,64.9672100439486,106.39643524643,99,85.9938632149117,110.190137044285
"4-2014",4316675.80829003,640583.171160001,2833773.77945,713929.309190004,128389.54849,14.8397331560036,43.1979428648489,76.2880848817367,121.190881981576,100,85.9856080332947,110.411922544813
